seeded_canonical,stem,candidate_literal,n_trials,agency_class,suggested_action
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,pfizer,"PFIZER, Bratislava, Slovakia",1,UNKNOWN,
AbbVie,abbvie,Janssen Research & Development LLC; Pharmacyclics LLC (An AbbVie Company),1,UNKNOWN,
Organon and Co,organon,Organon Teknika,1,UNKNOWN,
Chong Kun Dang Pharmaceutical,chong,Chong Kun Dang Bio,1,UNKNOWN,
Boehringer Ingelheim,boehringer,"Boehringer Ingelheim (China) Investment Co., Ltd",1,UNKNOWN,
Bristol-Myers Squibb,bristol-myers,Bristol-Myers Squibb Services Unlimited Company,1,UNKNOWN,
Celgene,celgene,Celgene International II S.á.r.l.,1,UNKNOWN,
Celgene,celgene,Celgene a wholly owned subsidiary of BMS,1,UNKNOWN,
Celgene,celgene,"Celgene; Genentech, Inc.",1,UNKNOWN,
Chong Kun Dang Pharmaceutical,chong,"Chong Hua Hospital, Cebu City, Philippines",1,UNKNOWN,
Chong Kun Dang Pharmaceutical,chong,"Chong Hua Hospital, Philippines",1,UNKNOWN,
Coloplast A/S,coloplast,Coloplast NV/SA,1,INDUSTRY,
Organon and Co,organon,Organon Healthcare GmbH,1,UNKNOWN,
Daewoong Pharmaceutical Co. LTD.,daewoong,Daewoong Pharmaceutical Indonesia,1,UNKNOWN,
"Dong-A ST Co., Ltd.",dong-a,Dong-A medical center,1,UNKNOWN,
Eisai Inc.,eisai,EISAI s.r.l.,1,UNKNOWN,
Eli Lilly and Company,eli lilly,"National Institute of Mental Health, Eli Lilly & Co.",1,UNKNOWN,
Ferring Pharmaceuticals,ferring,FERRING Kazakhstan,1,UNKNOWN,
Ferring Pharmaceuticals,ferring,Ferring Ventures,1,UNKNOWN,
Ferring Pharmaceuticals,ferring,Ferring Ventures Limited,1,INDUSTRY,
Biogen,biogen,Biogen-Dompé AG,1,INDUSTRY,
Biogen,biogen,Biogen Netherlands B.V,1,UNKNOWN,
Biogen,biogen,Biogen Idec A/S,1,UNKNOWN,
Biogen,biogen,Biogen Extracts Pvt Ltd,1,UNKNOWN,
Akeso,akeso,"AKESO Clinic, Prague, Czech Republic",1,UNKNOWN,
Akeso,akeso,Akeso Associates,1,UNKNOWN,
Alcon Research,alcon,"Alcon LenSx, Inc.",1,INDUSTRY,
"Alexion Pharmaceuticals, Inc.",alexion,Alexion Pharma Italy s.r.l.,1,UNKNOWN,
Amgen,amgen,Amgen Astellas Biopharma K.K.,1,INDUSTRY,
Amgen,amgen,Amgen Europe B.V,1,UNKNOWN,
Amgen,amgen,"Amgen Ltd., United Kingdom",1,UNKNOWN,
Amgen,amgen,One Amgen Center Drive,1,UNKNOWN,
AstraZeneca,astrazeneca,"AstraZeneca Global R&D (China) Co., Ltd.",1,UNKNOWN,
Bausch & Lomb Incorporated,bausch,Bausch Health Ireland Limited,1,INDUSTRY,
"Bausch Health Americas, Inc.",bausch,Bausch Health Ireland Limited,1,INDUSTRY,
Bayer,bayer,BAYER S.p.A. - Italia,1,UNKNOWN,
Bayer,bayer,Bayer AG (Sponsor),1,UNKNOWN,
BeiGene,beigene,BeiGene (Canada) ULC,1,UNKNOWN,
Bial - Portela C S.A.,bial,Bial Aristegui Italia srl,1,UNKNOWN,
Forest Laboratories,forest,Aceves of Wake Forest University Medical Center,1,UNKNOWN,
Forest Laboratories,forest,Tree and Forest Psychological Counseling Center,1,UNKNOWN,
GE Healthcare,ge healthcare,Canadian Heads of Academic Radiology-GE Healthcare Development Award,1,UNKNOWN,
Hoffmann-La Roche,hoffmann-la,F. Hoffmann-La Roche Ltd; German CLL Study Group (GCLLSG); Dana-Farber Cancer Institute,1,UNKNOWN,
Innovent Biologics (Suzhou) Co. Ltd.,innovent,"Innovent Biologics (USA), Inc.",1,UNKNOWN,
Innovent Biologics (Suzhou) Co. Ltd.,innovent,"Innovent Biopharmaceutical Co., Ltd.",1,UNKNOWN,
Ipsen,ipsen,"Biomeasure Inc, Ipsen Group",1,INDUSTRY,
Ipsen,ipsen,IPSEN PHARMA S.A.S,1,UNKNOWN,
Ipsen,ipsen,"IPSEN pharmaceutical company, Boulogne-Billancourt, France",1,UNKNOWN,
Ipsen,ipsen,"IPSEN, biopharmaceutical group (financial support)",1,UNKNOWN,
"AbbVie (prior sponsor, Abbott)",abbvie,Janssen Research & Development LLC; Pharmacyclics LLC (An AbbVie Company),1,UNKNOWN,
Jazz Pharmaceuticals,jazz,Jazz Pharmaceuticals Research UK Ltd.,1,UNKNOWN,
LEO Pharma,leo pharma,"LEO Pharma GmbH, Neu-Isenburg, Germany",1,UNKNOWN,
"Millennium Pharmaceuticals, Inc.",millennium,"ANID - Millennium Science Initiative Program - NCS17_03 Millennium Nucleus to Improve the Mental Health of Adolescents and Youths (Imhay), Santiago, Chile",1,UNKNOWN,
"Millennium Pharmaceuticals, Inc.",millennium,Millennium Institute for Research in Depression and Personality (MIDAP),1,UNKNOWN,
"Millennium Pharmaceuticals, Inc.",millennium,Millennium Laboratories,1,UNKNOWN,
Organon and Co,organon,Laboratoires Organon,1,UNKNOWN,
Organon and Co,organon,"ORGANON (SHANGHAI) PHARMACEUTICAL TECHNOLOGY CO., LTD.",1,UNKNOWN,
Organon and Co,organon,Organon GmbH (former name),1,UNKNOWN,
Incyte Corporation,incyte,Incyte Biosciences Benelux,1,INDUSTRY,
Hamad Medical Corporation,hamad,"Hamad Medical Corporation, Heart Hospital -Doha-Qatar",1,UNKNOWN,
GE Healthcare,ge healthcare,GE Healthcare Finland Ltd,1,UNKNOWN,
Hamad Medical Corporation,hamad,Hamad Bin Khalifa University,1,UNKNOWN,
"Genentech, Inc.",genentech,"Celgene; Genentech, Inc.",1,UNKNOWN,
"Genentech, Inc.",genentech,Genentech Foundation,1,UNKNOWN,
"Genentech, Inc.",genentech,Genentech and Biogen IDEC,1,UNKNOWN,
"Genentech, Inc.",genentech,"Genentech, Inc., a subsidiary of F. Hoffman-La Roche AG",1,UNKNOWN,
"Genzyme, a Sanofi Company",genzyme,Diacrin/Genzyme Corporation LLC,1,INDUSTRY,
"Genzyme, a Sanofi Company",genzyme,Genzyme Europe B.V.,1,UNKNOWN,
"Genzyme, a Sanofi Company",genzyme,laboratoire Genzyme,1,UNKNOWN,
Gilead Sciences,gilead,"Gilead Sciences, Inc., GlaxoSmithKline plc, Seattle Genetics and Astellas",1,UNKNOWN,
Gilead Sciences,gilead,"Merck KGaA, Darmstadt, Germany; Gilead Sciences; Nektar Therapeutics",1,UNKNOWN,
Gilead Sciences,gilead,"Tmunity Therapeutics, a wholly owned subsidiary of Kite Pharma (a Gilead company)",1,UNKNOWN,
GlaxoSmithKline,glaxosmithkline,"Gilead Sciences, Inc., GlaxoSmithKline plc, Seattle Genetics and Astellas",1,UNKNOWN,
GlaxoSmithKline,glaxosmithkline,"GlaxoSmithKline AG, Switzerland",1,UNKNOWN,
GlaxoSmithKline,glaxosmithkline,"GlaxoSmithKline GmbH & Co. KG (Munich, Germany)",1,UNKNOWN,
GlaxoSmithKline,glaxosmithkline,GlaxoSmithKline Research and Education Foundation for Cardiovascular Disease,1,UNKNOWN,
GlaxoSmithKline,glaxosmithkline,Glaxosmithkline Biologicals S.A.,1,UNKNOWN,
Zimmer Biomet,zimmer,"Zimmer Medical Devices (Shanghai) Co., Ltd.",1,UNKNOWN,
